D,M,N,__pyience_timestamp__,acc_amm,acc_orig,alpha,bias,canCheat,corr,cossim,d,lut_work_const,method,muls,ncentroids,ncodebooks,nlookups,nnz,normalized_mse,problem,r,raw_mse,secs,sparsity,task_id,trial,y_mean,y_std,yhat_mean,yhat_std
512,100,10000,2020-01-05T14_14_52,0.0601,0.7048,,,,0.5794066786766052,0.579407811164856,16.0,,OrthoGauss,97920000.0,,,,,0.9438647627830504,,,16.57468032836914,0.010332911013392732,,CIFAR-100 Softmax,4,0.005246688611805439,4.1905179023742685,0.0006185690290294588,0.21228286623954773
512,100,10000,2020-01-05T14_14_52,0.0687,0.7048,,,,0.6288495063781738,0.6288495063781738,16.0,,OrthoGauss,97920000.0,,,,,0.9293764233589172,,,16.320259094238278,0.009196970000630245,,CIFAR-100 Softmax,5,0.005246688611805439,4.1905179023742685,0.0007913910667411982,0.2468791753053665
512,100,10000,2020-01-05T14_14_52,0.06,0.7048,,,,0.6172205805778503,0.6172183752059937,16.0,,OrthoGauss,97920000.0,,,,,0.9428735971450806,,,16.557275772094727,0.009660629992140457,,CIFAR-100 Softmax,6,0.005246688611805439,4.1905179023742685,0.001043609227053821,0.20180314779281616
512,100,10000,2020-01-05T14_14_52,0.046,0.7048,,,,0.6240212321281433,0.6240214109420776,16.0,,OrthoGauss,97920000.0,,,,,0.9361563920974731,,,16.43931770324707,0.009907878004014492,,CIFAR-100 Softmax,7,0.005246688611805439,4.1905179023742685,0.0005379996146075428,0.22396157681941986
512,100,10000,2020-01-05T14_14_52,0.0583,0.7048,,,,0.640690803527832,0.6406891345977783,16.0,,OrthoGauss,97920000.0,,,,,0.9401519298553468,,,16.50948143005371,0.009529645991278812,,CIFAR-100 Softmax,8,0.005246688611805439,4.1905179023742685,-9.428170596947895e-05,0.2034361511468888
512,100,10000,2020-01-05T14_14_52,0.0686,0.7048,,,,0.6512975692749023,0.6512979865074158,16.0,,OrthoGauss,97920000.0,,,,,0.9354788064956664,,,16.427419662475586,0.010150966991204768,,CIFAR-100 Softmax,9,0.005246688611805439,4.1905179023742685,0.00025866713258437807,0.21613208949565887
512,100,10000,2020-01-05T14_14_53,0.1706,0.7048,,,,0.7337493896484375,0.7337462902069092,32.0,,OrthoGauss,195840000.0,,,,,0.8787107467651367,,,15.430547714233398,0.011983443982899187,,CIFAR-100 Softmax,0,0.005246688611805439,4.1905179023742685,0.0017125537851825356,0.3684242367744446
512,100,10000,2020-01-05T14_14_53,0.1331,0.7048,,,,0.718877911567688,0.7188674211502075,32.0,,OrthoGauss,195840000.0,,,,,0.8992015719413757,,,15.790375709533693,0.011694240994984284,,CIFAR-100 Softmax,1,0.005246688611805439,4.1905179023742685,-0.0012109031667932868,0.3097187280654907
512,100,10000,2020-01-05T14_14_53,0.1772,0.7048,,,,0.7192406654357909,0.7192363739013672,32.0,,OrthoGauss,195840000.0,,,,,0.8900017738342285,,,15.628823280334473,0.013964756013592705,,CIFAR-100 Softmax,2,0.005246688611805439,4.1905179023742685,-0.0006608041003346442,0.33957844972610474
512,100,10000,2020-01-05T14_14_53,0.1616,0.7048,,,,0.7512263655662537,0.7512241005897522,32.0,,OrthoGauss,195840000.0,,,,,0.8754274845123291,,,15.372892379760742,0.011872737988596782,,CIFAR-100 Softmax,3,0.005246688611805439,4.1905179023742685,-0.0002703955688048154,0.3690911829471588
512,100,10000,2020-01-05T14_14_53,0.1543,0.7048,,,,0.7050472497940063,0.7050460577011108,32.0,,OrthoGauss,195840000.0,,,,,0.8843464255332947,,,15.529512405395508,0.012677004997385666,,CIFAR-100 Softmax,4,0.005246688611805439,4.1905179023742685,0.0013707545585930347,0.366426169872284
512,100,10000,2020-01-05T14_14_53,0.1756,0.7048,,,,0.7470515966415405,0.7470518350601196,32.0,,OrthoGauss,195840000.0,,,,,0.8766170144081116,,,15.393780708312988,0.011579554004129022,,CIFAR-100 Softmax,5,0.005246688611805439,4.1905179023742685,0.0009553625714033842,0.3676446676254273
512,100,10000,2020-01-05T14_14_53,0.1606,0.7048,,,,0.743794858455658,0.7437941431999207,32.0,,OrthoGauss,195840000.0,,,,,0.8771848082542419,,,15.403751373291016,0.012131535011576487,,CIFAR-100 Softmax,6,0.005246688611805439,4.1905179023742685,9.739850065670909e-05,0.3676578402519226
512,100,10000,2020-01-05T14_14_53,0.1462,0.7048,,,,0.7405951619148254,0.7405825257301331,32.0,,OrthoGauss,195840000.0,,,,,0.8853223323822021,,,15.546649932861328,0.011641914985375479,,CIFAR-100 Softmax,7,0.005246688611805439,4.1905179023742685,-0.0014849791768938305,0.3434537947177887
512,100,10000,2020-01-05T14_14_53,0.16899999999999998,0.7048,,,,0.732482373714447,0.7324796319007874,32.0,,OrthoGauss,195840000.0,,,,,0.8818288445472717,,,15.485302925109865,0.011917569005163386,,CIFAR-100 Softmax,8,0.005246688611805439,4.1905179023742685,0.0017201390583068132,0.35902756452560425
512,100,10000,2020-01-05T14_14_53,0.1351,0.7048,,,,0.7315951585769653,0.7315953373908997,32.0,,OrthoGauss,195840000.0,,,,,0.8924919962882996,,,15.672552108764648,0.011594634008361028,,CIFAR-100 Softmax,9,0.005246688611805439,4.1905179023742685,0.0003103847266174853,0.3251461386680603
512,100,10000,2020-01-05T14_14_54,0.0106,0.7048,,,,0.19013164937496185,0.1901279240846634,1.0,,Rademacher,6120000.0,,,,,0.9966728687286376,,,17.50201416015625,0.008744448015931994,,CIFAR-100 Softmax,0,0.005246688611805439,4.1905179023742685,-9.067879000212996e-05,0.03757252916693688
512,100,10000,2020-01-05T14_14_54,0.0135,0.7048,,,,0.2298213839530945,0.2297709733247757,1.0,,Rademacher,6120000.0,,,,,0.9949489235877992,,,17.47174072265625,0.009213847981300205,,CIFAR-100 Softmax,1,0.005246688611805439,4.1905179023742685,0.0012772924965247512,0.047218725085258484
512,100,10000,2020-01-05T14_14_54,0.01,0.7048,,,,0.16191241145133972,0.16191449761390686,1.0,,Rademacher,6120000.0,,,,,0.9979596734046936,,,17.52461051940918,0.010095920006278902,,CIFAR-100 Softmax,2,0.005246688611805439,4.1905179023742685,5.657064684783109e-05,0.02695939503610134
512,100,10000,2020-01-05T14_14_54,0.0107,0.7048,,,,0.25374388694763184,0.2537431716918945,1.0,,Rademacher,6120000.0,,,,,0.9921885132789612,,,17.423267364501953,0.00957643598667346,,CIFAR-100 Softmax,3,0.005246688611805439,4.1905179023742685,-2.1376081349444576e-05,0.06660200655460358
512,100,10000,2020-01-05T14_14_54,0.0112,0.7048,,,,0.2436010241508484,0.2436007857322693,1.0,,Rademacher,6120000.0,,,,,0.990923285484314,,,17.40104866027832,0.009694790991488844,,CIFAR-100 Softmax,4,0.005246688611805439,4.1905179023742685,-3.447773678999511e-06,0.08132558315992355
512,100,10000,2020-01-05T14_14_54,0.0119,0.7048,,,,0.21412667632102966,0.2141264230012893,1.0,,Rademacher,6120000.0,,,,,0.9955062270164492,,,17.48152732849121,0.010701527004130185,,CIFAR-100 Softmax,5,0.005246688611805439,4.1905179023742685,0.0005254690186120571,0.045121550559997566
512,100,10000,2020-01-05T14_14_54,0.01,0.7048,,,,0.2745981812477112,0.2745988965034485,1.0,,Rademacher,6120000.0,,,,,0.9906594157218932,,,17.396415710449222,0.008818436996079981,,CIFAR-100 Softmax,6,0.005246688611805439,4.1905179023742685,6.840525020379573e-05,0.07364390045404434
512,100,10000,2020-01-05T14_14_54,0.0125,0.7048,,,,0.1996801495552063,0.19964812695980072,1.0,,Rademacher,6120000.0,,,,,0.9968532919883728,,,17.505182266235348,0.010786110011395069,,CIFAR-100 Softmax,7,0.005246688611805439,4.1905179023742685,-0.0004240750567987561,0.03372091054916382
512,100,10000,2020-01-05T14_14_54,0.0127,0.7048,,,,0.20259974896907806,0.2026015669107437,1.0,,Rademacher,6120000.0,,,,,0.9961730241775512,,,17.493236541748047,0.009428446996025741,,CIFAR-100 Softmax,8,0.005246688611805439,4.1905179023742685,7.981000817380846e-05,0.04056525230407715
512,100,10000,2020-01-05T14_14_54,0.0151,0.7048,,,,0.1909355074167252,0.190935418009758,1.0,,Rademacher,6120000.0,,,,,0.9952579140663148,,,17.477167129516598,0.009485618997132406,,CIFAR-100 Softmax,9,0.005246688611805439,4.1905179023742685,5.8015948525280675e-06,0.053870528936386115
512,100,10000,2020-01-05T14_14_54,0.0202,0.7048,,,,0.2472258061170578,0.24722716212272644,2.0,,Rademacher,12240000.0,,,,,0.9901668429374696,,,17.387765884399414,0.008685709006385878,,CIFAR-100 Softmax,0,0.005246688611805439,4.1905179023742685,0.00014229936641640956,0.0870039165019989
512,100,10000,2020-01-05T14_14_54,0.0119,0.7048,,,,0.2419339716434479,0.2419367879629135,2.0,,Rademacher,12240000.0,,,,,0.9932223558425904,,,17.441421508789062,0.009303176018875092,,CIFAR-100 Softmax,1,0.005246688611805439,4.1905179023742685,0.0004030718118883669,0.06051778793334961
512,100,10000,2020-01-05T14_14_54,0.0127,0.7048,,,,0.22407718002796173,0.22407576441764832,2.0,,Rademacher,12240000.0,,,,,0.9932481050491332,,,17.44187355041504,0.009849181980825959,,CIFAR-100 Softmax,2,0.005246688611805439,4.1905179023742685,-5.40722321602516e-05,0.06543340533971786
512,100,10000,2020-01-05T14_14_54,0.01,0.7048,,,,0.20655784010887146,0.20655696094036105,2.0,,Rademacher,12240000.0,,,,,0.9958610534667968,,,17.48775863647461,0.008907050010748208,,CIFAR-100 Softmax,3,0.005246688611805439,4.1905179023742685,-2.0383471564855427e-05,0.04307212680578232
512,100,10000,2020-01-05T14_14_54,0.0135,0.7048,,,,0.2929325997829437,0.2929339110851288,2.0,,Rademacher,12240000.0,,,,,0.9896865487098694,,,17.379331588745114,0.009623106976505369,,CIFAR-100 Softmax,4,0.005246688611805439,4.1905179023742685,0.0005068503087386488,0.07613925635814668
512,100,10000,2020-01-05T14_14_54,0.0102,0.7048,,,,0.2816380262374878,0.2816369831562042,2.0,,Rademacher,12240000.0,,,,,0.990869402885437,,,17.400102615356445,0.010013797000283377,,CIFAR-100 Softmax,5,0.005246688611805439,4.1905179023742685,-4.857311068917625e-05,0.07001831382513046
512,100,10000,2020-01-05T14_14_54,0.0141,0.7048,,,,0.2946641147136688,0.2946663498878479,2.0,,Rademacher,12240000.0,,,,,0.9909571409225464,,,17.401643753051758,0.010080145002575593,,CIFAR-100 Softmax,6,0.005246688611805439,4.1905179023742685,0.00029661550070159137,0.06608159095048904
512,100,10000,2020-01-05T14_14_54,0.0142,0.7048,,,,0.3000769317150116,0.3000787198543549,2.0,,Rademacher,12240000.0,,,,,0.9881951808929444,,,17.353141784667972,0.009036251984070988,,CIFAR-100 Softmax,7,0.005246688611805439,4.1905179023742685,0.0001967766438610852,0.0853334590792656
512,100,10000,2020-01-05T14_14_54,0.0153,0.7048,,,,0.29936712980270386,0.2993694543838501,2.0,,Rademacher,12240000.0,,,,,0.988336443901062,,,17.355623245239258,0.008964140986790879,,CIFAR-100 Softmax,8,0.005246688611805439,4.1905179023742685,0.00029772808193229133,0.08448877185583115
512,100,10000,2020-01-05T14_14_54,0.0177,0.7048,,,,0.29758408665657043,0.2975839376449585,2.0,,Rademacher,12240000.0,,,,,0.9895786046981812,,,17.377435684204098,0.009392324020154774,,CIFAR-100 Softmax,9,0.005246688611805439,4.1905179023742685,1.3025287444179414e-05,0.07568705826997757
512,100,10000,2020-01-05T14_14_55,0.0163,0.7048,,,,0.35079285502433777,0.3507944941520691,4.0,,Rademacher,24480000.0,,,,,0.984222948551178,,,17.283388137817386,0.00917086799745448,,CIFAR-100 Softmax,0,0.005246688611805439,4.1905179023742685,0.00024764603585936135,0.09747622907161713
512,100,10000,2020-01-05T14_14_55,0.0137,0.7048,,,,0.39943575859069824,0.3994370698928833,4.0,,Rademacher,24480000.0,,,,,0.9814959168434144,,,17.23550033569336,0.008834214007947594,,CIFAR-100 Softmax,1,0.005246688611805439,4.1905179023742685,0.00014996320533100516,0.10006249696016313
512,100,10000,2020-01-05T14_14_55,0.0186,0.7048,,,,0.3555423617362976,0.3555387854576111,4.0,,Rademacher,24480000.0,,,,,0.9873691201210022,,,17.33863639831543,0.0087228310003411,,CIFAR-100 Softmax,2,0.005246688611805439,4.1905179023742685,-0.00015048551722429693,0.07640431076288222
512,100,10000,2020-01-05T14_14_55,0.0149,0.7048,,,,0.3487873375415802,0.3487496972084045,4.0,,Rademacher,24480000.0,,,,,0.987348735332489,,,17.33827781677246,0.008430142013821751,,CIFAR-100 Softmax,3,0.005246688611805439,4.1905179023742685,-0.000898229714948684,0.07809975743293762
512,100,10000,2020-01-05T14_14_55,0.0145,0.7048,,,,0.4153245985507965,0.4153231978416443,4.0,,Rademacher,24480000.0,,,,,0.9822071194648744,,,17.247989654541016,0.008562008995795622,,CIFAR-100 Softmax,4,0.005246688611805439,4.1905179023742685,-6.296843639574945e-05,0.09221326559782027
