D,M,N,__pyience_timestamp__,acc_amm,acc_orig,corr,cossim,d,lut_work_const,method,muls,ncodebooks,nlookups,normalized_mse,problem,raw_mse,secs,task_id,trial,y_mean,y_std,yhat_mean,yhat_std
320,37,391,2020-01-28T01_36_35,0.4859335038363171,0.4859335038363171,1.0,1.0,,,Exact,4629440.0,,,0.0,softmax,0.0,0.00025753400404937565,ucr Adiac k=128,0,-4.605187654923856,1.835466882301096,-4.605187654923856,1.835466882301096
320,1,3000,2020-01-28T01_36_35,0.4643333333333333,0.4643333333333333,0.9999999999999998,1.0000000000000004,,,Exact,960000.0,,,0.0,softmax,0.0,0.0039589439984411,ucr Yoga k=128,0,0.1069617168397016,1.2845936701659697,0.1069617168397016,1.2845936701659697
320,10,700,2020-01-28T01_36_35,0.2342857142857143,0.2342857142857143,1.0,1.0,,,Exact,2240000.0,,,0.0,softmax,0.0,0.0010911749850492924,ucr AllGestureWiimoteY k=128,0,0.6103453206177155,2.8447590669861538,0.6103453206177155,2.8447590669861538
320,60,600,2020-01-28T01_36_35,0.495,0.495,1.0,1.0,,,Exact,11520000.0,,,0.0,softmax,0.0,0.00036856599035672843,ucr ShapesAll k=128,0,-5.336385467319093,3.9185312901364457,-5.336385467319093,3.9185312901364457
320,6,158,2020-01-28T01_36_35,0.34810126582278483,0.34810126582278483,1.0,1.0,,,Exact,303360.0,,,0.0,softmax,0.0,8.843699470162393e-05,ucr GesturePebbleZ2 k=128,0,-2.4655315278675576,4.954491104599586,-2.4655315278675576,4.954491104599586
320,1,315,2020-01-28T01_36_35,0.4761904761904762,0.4761904761904762,0.9999999999999998,1.0,,,Exact,100800.0,,,0.0,softmax,0.0,0.000776452012360096,ucr GunPointOldVersusYoung k=128,0,2.325124426668371,7.180857097860657,2.325124426668371,7.180857097860657
320,6,154,2020-01-28T01_36_35,0.6103896103896104,0.6103896103896104,0.9999999999999998,1.0,,,Exact,295680.0,,,0.0,softmax,0.0,8.42090230435133e-05,ucr MiddlePhalanxTW k=128,0,-2.711173202866603,2.3759310916173093,-2.711173202866603,2.3759310916173093
320,10,700,2020-01-28T01_36_35,0.25142857142857145,0.25142857142857145,0.9999999999999998,1.0,,,Exact,2240000.0,,,0.0,softmax,0.0,0.00026168100885115564,ucr AllGestureWiimoteX k=128,0,1.432697954985544,3.1416905958319767,1.432697954985544,3.1416905958319767
320,1,291,2020-01-28T01_36_35,0.42955326460481097,0.42955326460481097,1.0000000000000004,1.0,,,Exact,93120.0,,,0.0,softmax,0.0,8.232399704866111e-05,ucr MiddlePhalanxOutlineCorrect k=128,0,0.6402359483120881,1.0780735149125744,0.6402359483120881,1.0780735149125744
320,1,1320,2020-01-28T01_36_35,0.5159090909090909,0.5159090909090909,0.9999999999999998,1.0000000000000002,,,Exact,422400.0,,,0.0,softmax,0.0,0.0004765719932038337,ucr FordA k=128,0,0.0013067097609397475,0.3821068086493901,0.0013067097609397475,0.3821068086493901
320,15,625,2020-01-28T01_36_35,0.752,0.752,1.0000000000000002,1.0000000000000004,,,Exact,3000000.0,,,0.0,softmax,0.0,0.000361919024726376,ucr SwedishLeaf k=128,0,-5.955040025934355,4.609142676718998,-5.955040025934355,4.609142676718998
320,12,390,2020-01-28T01_36_35,0.2282051282051282,0.2282051282051282,1.0,1.0,,,Exact,1497600.0,,,0.0,softmax,0.0,0.00017949400353245437,ucr CricketY k=128,0,-0.046056494432154094,1.7590281594064552,-0.046056494432154094,1.7590281594064552
320,1,77,2020-01-28T01_36_35,0.42857142857142855,0.42857142857142855,1.0,0.9999999999999998,,,Exact,24640.0,,,0.0,softmax,0.0,6.652498268522322e-05,ucr WormsTwoClass k=128,0,-0.3869647908237882,3.6166836025033935,-0.3869647908237882,3.6166836025033935
320,3,150,2020-01-28T01_36_35,0.6666666666666666,0.6666666666666666,1.0,1.0,,,Exact,144000.0,,,0.0,softmax,0.0,0.00025556198670528845,ucr SmoothSubspace k=128,0,-0.7164095894320116,2.766526686542799,-0.7164095894320116,2.766526686542799
320,6,242,2020-01-28T01_36_35,0.4214876033057851,0.4214876033057851,1.0,0.9999999999999996,,,Exact,464640.0,,,0.0,softmax,0.0,0.00011546100722625852,ucr OSULeaf k=128,0,-2.554883423931813,2.8766772960703952,-2.554883423931813,2.8766772960703952
320,12,390,2020-01-28T01_36_35,0.1717948717948718,0.1717948717948718,0.9999999999999996,0.9999999999999998,,,Exact,1497600.0,,,0.0,softmax,0.0,0.0001498129859101027,ucr CricketX k=128,0,-0.026035560971039144,2.0384368565564537,-0.026035560971039144,2.0384368565564537
320,3,375,2020-01-28T01_36_35,0.35200000000000004,0.35200000000000004,1.0,1.0,,,Exact,360000.0,,,0.0,softmax,0.0,0.00024090500664897266,ucr ScreenType k=128,0,-0.6528648817676795,3.2777415309498763,-0.6528648817676795,3.2777415309498763
