------------------------ Caltech3x3 f32
Ucr64, f32, amm bolt noenc        , N D M C:,  1000, 320,  64, 16,  (5x10):,  0.3570, (1.7927e+08/s),  0.3710, (1.7251e+08/s),  0.3700, (1.7297e+08/s),  0.3710, (1.7251e+08/s),  0.3580, (1.7877e+08/s)
Ucr64, f32, amm bolt              , N D M C:,  1000, 320,  64, 32,  (5x10):,  0.3880, (1.6495e+08/s),  0.3880, (1.6495e+08/s),  0.3890, (1.6452e+08/s),  0.3880, (1.6495e+08/s),  0.3890, (1.6452e+08/s)
Ucr64, f32, amm bolt noenc        , N D M C:,  1000, 320,  64, 32,  (5x10):,  0.3740, (1.7112e+08/s),  0.3740, (1.7112e+08/s),  0.3740, (1.7112e+08/s),  0.3740, (1.7112e+08/s),  0.3740, (1.7112e+08/s)
Ucr64, f32, amm bolt              , N D M C:,  1000, 320,  64, 64,  (5x10):,  0.4600, (1.3913e+08/s),  0.4650, (1.3763e+08/s),  0.4620, (1.3853e+08/s),  0.4620, (1.3853e+08/s),  0.4610, (1.3883e+08/s)
Ucr64, f32, amm bolt noenc        , N D M C:,  1000, 320,  64, 64,  (5x10):,  0.4430, (1.4447e+08/s),  0.4430, (1.4447e+08/s),  0.4430, (1.4447e+08/s),  0.4430, (1.4447e+08/s),  0.4430, (1.4447e+08/s)
------------------------ Ucr128 f32
Ucr128, f32, amm bolt              , N D M C:,  1000, 320, 128,  2, (5x10):,  0.5110, (2.5049e+08/s),  0.5110, (2.5049e+08/s),  0.5110, (2.5049e+08/s),  0.5110, (2.5049e+08/s),  0.5110, (2.5049e+08/s)
Ucr128, f32, amm bolt noenc        , N D M C:,  1000, 320, 128,  2, (5x10):,  0.4680, (2.7350e+08/s),  0.4680, (2.7350e+08/s),  0.4680, (2.7350e+08/s),  0.4690, (2.7292e+08/s),  0.4680, (2.7350e+08/s)
Ucr128, f32, amm bolt              , N D M C:,  1000, 320, 128,  4, (5x10):,  0.4780, (2.6778e+08/s),  0.4780, (2.6778e+08/s),  0.4800, (2.6667e+08/s),  0.4780, (2.6778e+08/s),  0.4780, (2.6778e+08/s)
Ucr128, f32, amm bolt noenc        , N D M C:,  1000, 320, 128,  4, (5x10):,  0.4360, (2.9358e+08/s),  0.4360, (2.9358e+08/s),  0.4360, (2.9358e+08/s),  0.4350, (2.9425e+08/s),  0.4350, (2.9425e+08/s)
Ucr128, f32, amm bolt              , N D M C:,  1000, 320, 128,  8, (5x10):,  0.4390, (2.9157e+08/s),  0.4360, (2.9358e+08/s),  0.4320, (2.9630e+08/s),  0.4350, (2.9425e+08/s),  0.4280, (2.9907e+08/s)
Ucr128, f32, amm bolt noenc        , N D M C:,  1000, 320, 128,  8, (5x10):,  0.3930, (3.2570e+08/s),  0.3840, (3.3333e+08/s),  0.3840, (3.3333e+08/s),  0.3850, (3.3247e+08/s),  0.3930, (3.2570e+08/s)
Ucr128, f32, amm bolt              , N D M C:,  1000, 320, 128, 16, (5x10):,  0.4480, (2.8571e+08/s),  0.4480, (2.8571e+08/s),  0.4280, (2.9907e+08/s),  0.4280, (2.9907e+08/s),  0.4420, (2.8959e+08/s)
Ucr128, f32, amm bolt noenc        , N D M C:,  1000, 320, 128, 16, (5x10):,  0.4000, (3.2000e+08/s),  0.4020, (3.1841e+08/s),  0.3930, (3.2570e+08/s),  0.3930, (3.2570e+08/s),  0.3860, (3.3161e+08/s)
Ucr128, f32, amm bolt              , N D M C:,  1000, 320, 128, 32, (5x10):,  0.4590, (2.7887e+08/s),  0.4550, (2.8132e+08/s),  0.4550, (2.8132e+08/s),  0.4560, (2.8070e+08/s),  0.4560, (2.8070e+08/s)
Ucr128, f32, amm bolt noenc        , N D M C:,  1000, 320, 128, 32, (5x10):,  0.4130, (3.0993e+08/s),  0.4050, (3.1605e+08/s),  0.4050, (3.1605e+08/s),  0.4050, (3.1605e+08/s),  0.4050, (3.1605e+08/s)
Ucr128, f32, amm bolt              , N D M C:,  1000, 320, 128, 64, (5x10):,  0.5730, (2.2339e+08/s),  0.5740, (2.2300e+08/s),  0.5920, (2.1622e+08/s),  0.5810, (2.2031e+08/s),  0.5810, (2.2031e+08/s)
Ucr128, f32, amm bolt noenc        , N D M C:,  1000, 320, 128, 64, (5x10):,  0.5270, (2.4288e+08/s),  0.5270, (2.4288e+08/s),  0.5270, (2.4288e+08/s),  0.5360, (2.3881e+08/s),  0.5360, (2.3881e+08/s)
------------------------ Ucr256 f32
Ucr256, f32, amm bolt              , N D M C:,  1000, 320, 256,  2, (5x10):,  0.5840, (4.3836e+08/s),  0.5840, (4.3836e+08/s),  0.5800, (4.4138e+08/s),  0.5820, (4.3986e+08/s),  0.5820, (4.3986e+08/s)
