mithral lut sparse  , N D C B lut_work_const:,   16384, 256,  64, 32,  2.0, (5x10):, 21.0600, (7.9664e+08/s), 20.9980, (7.9899e+08/s), 21.0170, (7.9827e+08/s), 21.0150, (7.9834e+08/s), 21.1100, (7.9475e+08/s)
mithral lut sparse  , N D C B lut_work_const:,   16384, 256,  64, 32,  4.0, (5x10):, 29.3910, (5.7083e+08/s), 29.5900, (5.6699e+08/s), 29.7560, (5.6383e+08/s), 29.3250, (5.7211e+08/s), 29.6220, (5.6638e+08/s)
mithral lut dense   , N D C B lut_work_const:,   16384, 256, 128, 64, -1.0, (5x10):, 419.0810, (8.0067e+07/s), 418.8050, (8.0119e+07/s), 420.0760, (7.9877e+07/s), 418.4750, (8.0183e+07/s), 419.8740, (7.9915e+07/s)
mithral lut sparse  , N D C B lut_work_const:,   16384, 256, 128, 64,  2.0, (5x10):, 42.8280, (7.8347e+08/s), 43.2940, (7.7504e+08/s), 42.6970, (7.8587e+08/s), 43.3960, (7.7321e+08/s), 42.7270, (7.8532e+08/s)
mithral lut sparse  , N D C B lut_work_const:,   16384, 256, 128, 64,  4.0, (5x10):, 48.3080, (6.9459e+08/s), 48.9400, (6.8562e+08/s), 49.0390, (6.8424e+08/s), 48.8790, (6.8648e+08/s), 49.1840, (6.8222e+08/s)
mithral lut dense   , N D C B lut_work_const:,   16384, 512,  16,  8, -1.0, (5x10):, 104.1900, (4.0256e+07/s), 104.7330, (4.0048e+07/s), 104.8690, (3.9996e+07/s), 104.5960, (4.0100e+07/s), 104.9000, (3.9984e+07/s)
mithral lut sparse  , N D C B lut_work_const:,   16384, 512,  16,  8,  2.0, (5x10):, 16.7430, (2.5051e+08/s), 16.7360, (2.5062e+08/s), 16.7420, (2.5053e+08/s), 16.7370, (2.5060e+08/s), 16.7490, (2.5042e+08/s)
mithral lut sparse  , N D C B lut_work_const:,   16384, 512,  16,  8,  4.0, (5x10):, 31.5580, (1.3291e+08/s), 31.5950, (1.3275e+08/s), 31.3960, (1.3359e+08/s), 31.7150, (1.3225e+08/s), 31.5230, (1.3306e+08/s)
mithral lut dense   , N D C B lut_work_const:,   16384, 512,  32, 16, -1.0, (5x10):, 206.3120, (4.0660e+07/s), 206.0940, (4.0703e+07/s), 206.1620, (4.0689e+07/s), 206.2950, (4.0663e+07/s), 206.1180, (4.0698e+07/s)
mithral lut sparse  , N D C B lut_work_const:,   16384, 512,  32, 16,  2.0, (5x10):, 21.0070, (3.9932e+08/s), 21.0090, (3.9929e+08/s), 21.1050, (3.9747e+08/s), 20.9690, (4.0005e+08/s), 20.9740, (3.9995e+08/s)
mithral lut sparse  , N D C B lut_work_const:,   16384, 512,  32, 16,  4.0, (5x10):, 34.4950, (2.4318e+08/s), 34.4890, (2.4323e+08/s), 34.6750, (2.4192e+08/s), 34.7250, (2.4157e+08/s), 34.7040, (2.4172e+08/s)
mithral lut dense   , N D C B lut_work_const:,   16384, 512,  64, 32, -1.0, (5x10):, 409.7980, (4.0940e+07/s), 409.3690, (4.0983e+07/s), 410.4890, (4.0871e+07/s), 411.2610, (4.0795e+07/s), 409.7440, (4.0946e+07/s)
mithral lut sparse  , N D C B lut_work_const:,   16384, 512,  64, 32,  2.0, (5x10):, 32.7610, (5.1211e+08/s), 31.1530, (5.3854e+08/s), 31.3540, (5.3509e+08/s), 31.1010, (5.3944e+08/s), 31.3570, (5.3504e+08/s)
mithral lut sparse  , N D C B lut_work_const:,   16384, 512,  64, 32,  4.0, (5x10):, 43.6620, (3.8425e+08/s), 44.0650, (3.8074e+08/s), 43.5940, (3.8485e+08/s), 43.6230, (3.8460e+08/s), 43.8150, (3.8291e+08/s)
mithral lut dense   , N D C B lut_work_const:,   16384, 512, 128, 64, -1.0, (5x10):, 860.3590, (3.9001e+07/s), 860.2860, (3.9004e+07/s), 857.6870, (3.9122e+07/s), 859.6610, (3.9032e+07/s), 858.9250, (3.9066e+07/s)
mithral lut sparse  , N D C B lut_work_const:,   16384, 512, 128, 64,  2.0, (5x10):, 50.6440, (6.6255e+08/s), 50.2060, (6.6834e+08/s), 50.4230, (6.6546e+08/s), 50.3840, (6.6597e+08/s), 50.6630, (6.6231e+08/s)
mithral lut sparse  , N D C B lut_work_const:,   16384, 512, 128, 64,  4.0, (5x10):, 67.1240, (4.9989e+08/s), 66.6310, (5.0359e+08/s), 66.3730, (5.0554e+08/s), 65.7770, (5.1012e+08/s), 65.7820, (5.1009e+08/s)
mithral lut dense   , N D C B lut_work_const:,   16384, 1024,  16,  8, -1.0,    (5x10):, 202.0720, (2.0756e+07/s), 203.0340, (2.0658e+07/s), 202.9410, (2.0668e+07/s), 202.4180, (2.0721e+07/s), 202.8490, (2.0677e+07/s)
mithral lut sparse  , N D C B lut_work_const:,   16384, 1024,  16,  8,  2.0,    (5x10):, 29.5690, (1.4185e+08/s), 29.5480, (1.4195e+08/s), 29.5820, (1.4179e+08/s), 29.5260, (1.4205e+08/s), 29.5320, (1.4203e+08/s)
mithral lut sparse  , N D C B lut_work_const:,   16384, 1024,  16,  8,  4.0,    (5x10):, 55.2660, (7.5893e+07/s), 55.3080, (7.5835e+07/s), 55.3470, (7.5782e+07/s), 55.4240, (7.5677e+07/s), 55.4210, (7.5681e+07/s)
mithral lut dense   , N D C B lut_work_const:,   16384, 1024,  32, 16, -1.0,    (5x10):, 402.9590, (2.0818e+07/s), 402.3790, (2.0848e+07/s), 402.0030, (2.0867e+07/s), 403.0490, (2.0813e+07/s), 402.2180, (2.0856e+07/s)
mithral lut sparse  , N D C B lut_work_const:,   16384, 1024,  32, 16,  2.0,    (5x10):, 35.1210, (2.3885e+08/s), 34.9830, (2.3979e+08/s), 34.8650, (2.4060e+08/s), 34.9480, (2.4003e+08/s), 35.0780, (2.3914e+08/s)
mithral lut sparse  , N D C B lut_work_const:,   16384, 1024,  32, 16,  4.0,    (5x10):, 60.8510, (1.3785e+08/s), 60.9190, (1.3770e+08/s), 61.1930, (1.3708e+08/s), 61.2000, (1.3707e+08/s), 60.9610, (1.3761e+08/s)
mithral lut dense   , N D C B lut_work_const:,   16384, 1024,  64, 32, -1.0,    (5x10):, 844.0630, (1.9877e+07/s), 842.4950, (1.9914e+07/s), 843.1680, (1.9898e+07/s), 845.5020, (1.9843e+07/s), 842.3630, (1.9917e+07/s)
