algo, _0, N, C, B, M, _1, latency0, _2, latency1, _3, latency2, _4, latency3, _5, latency4, _6
------------------------ B = 32
mithral scan          , N C B M:,  100000,  64, 32, 12, (5x20):,  0.8130, (1.4760e+09/s),  0.8080, (1.4851e+09/s),  0.8090, (1.4833e+09/s),  0.8030, (1.4944e+09/s),  0.8020, (1.4963e+09/s)
bolt scan uint8       , N C B M:,  100000,  64, 32, 12, (5x20):,  0.9120, (1.3158e+09/s),  0.9140, (1.3129e+09/s),  0.9630, (1.2461e+09/s),  0.8950, (1.3408e+09/s),  0.8920, (1.3453e+09/s)
bolt scan uint16      , N C B M:,  100000,  64, 32, 12, (5x20):,  1.2840, (9.3458e+08/s),  1.2630, (9.5012e+08/s),  1.2650, (9.4862e+08/s),  1.2640, (9.4937e+08/s),  1.2690, (9.4563e+08/s)
bolt scan safe uint16 , N C B M:,  100000,  64, 32, 12, (5x20):,  1.6940, (7.0838e+08/s),  1.6930, (7.0880e+08/s),  1.6980, (7.0671e+08/s),  1.7010, (7.0547e+08/s),  1.6920, (7.0922e+08/s)
bolt scan orig        , N C B M:,  100000,  64, 32, 12, (5x20):,  1.7780, (6.7492e+08/s),  1.7790, (6.7454e+08/s),  1.7760, (6.7568e+08/s),  1.7770, (6.7530e+08/s),  1.7790, (6.7454e+08/s)
pq scan               , N C B M:,  100000,  32, 32, 12, (5x20):, 21.7910, (5.5069e+07/s), 21.5960, (5.5566e+07/s), 21.6450, (5.5440e+07/s), 21.6410, (5.5450e+07/s), 21.5930, (5.5574e+07/s)
------------------------ B = 64
mithral scan          , N C B M:,  100000, 128, 64, 12, (5x20):,  1.9620, (6.1162e+08/s),  2.0090, (5.9731e+08/s),  2.0260, (5.9230e+08/s),  2.0260, (5.9230e+08/s),  2.0230, (5.9318e+08/s)
bolt scan uint8       , N C B M:,  100000, 128, 64, 12, (5x20):,  2.0760, (5.7803e+08/s),  2.0980, (5.7197e+08/s),  2.0710, (5.7943e+08/s),  2.1540, (5.5710e+08/s),  2.0860, (5.7526e+08/s)
bolt scan uint16      , N C B M:,  100000, 128, 64, 12, (5x20):,  2.7570, (4.3526e+08/s),  2.7830, (4.3119e+08/s),  2.8110, (4.2689e+08/s),  2.7430, (4.3748e+08/s),  2.7830, (4.3119e+08/s)
bolt scan safe uint16 , N C B M:,  100000, 128, 64, 12, (5x20):,  3.5350, (3.3946e+08/s),  3.5050, (3.4237e+08/s),  3.6130, (3.3213e+08/s),  3.6060, (3.3278e+08/s),  3.6000, (3.3333e+08/s)
bolt scan orig        , N C B M:,  100000, 128, 64, 12, (5x20):,  3.8220, (3.1397e+08/s),  3.7240, (3.2223e+08/s),  3.7590, (3.1923e+08/s),  3.9390, (3.0465e+08/s),  3.7260, (3.2206e+08/s)
pq scan               , N C B M:,  100000,  64, 64, 12, (5x20):, 51.2120, (2.3432e+07/s), 51.6600, (2.3229e+07/s), 51.1770, (2.3448e+07/s), 51.2510, (2.3414e+07/s), 51.2230, (2.3427e+07/s)
