pq encode             , N D C B:,   16384, 256,  16, 16,    (5x10):, 134.1790, (3.9074e+06/s), 134.4910, (3.8983e+06/s), 134.2580, (3.9051e+06/s), 134.4800, (3.8986e+06/s), 134.2720, (3.9047e+06/s)
opq encode            , N D C B:,   16384, 256,  16, 16,    (5x10):, 195.8020, (2.6776e+06/s), 196.0430, (2.6744e+06/s), 197.2490, (2.6580e+06/s), 196.3830, (2.6697e+06/s), 196.5540, (2.6674e+06/s)
mithral encode f32    , N D C B:,   16384, 256,  64, 32,    (5x10):,  0.6420, (1.6333e+09/s),  0.6610, (1.5863e+09/s),  0.6480, (1.6182e+09/s),  0.6510, (1.6107e+09/s),  0.6170, (1.6995e+09/s)
mithral encode i8     , N D C B:,   16384, 256,  64, 32,    (5x10):,  0.4190, (2.5026e+09/s),  0.3930, (2.6681e+09/s),  0.3840, (2.7307e+09/s),  0.3830, (2.7378e+09/s),  0.3960, (2.6479e+09/s)
mithral encode i16    , N D C B:,   16384, 256,  64, 32,    (5x10):,  0.4450, (2.3564e+09/s),  0.4640, (2.2599e+09/s),  0.4590, (2.2845e+09/s),  0.4540, (2.3096e+09/s),  0.4810, (2.1800e+09/s)
bolt encode           , N D C B:,   16384, 256,  64, 32,    (5x10):,  8.0260, (1.3065e+08/s),  8.3710, (1.2526e+08/s),  7.9960, (1.3114e+08/s),  7.8200, (1.3409e+08/s),  7.8120, (1.3423e+08/s)
pq encode             , N D C B:,   16384, 256,  32, 32,    (5x10):, 164.6210, (6.3696e+06/s), 165.0270, (6.3540e+06/s), 165.0660, (6.3525e+06/s), 164.5780, (6.3713e+06/s), 164.7900, (6.3631e+06/s)
opq encode            , N D C B:,   16384, 256,  32, 32,    (5x10):, 226.6230, (4.6270e+06/s), 226.4510, (4.6305e+06/s), 226.4150, (4.6312e+06/s), 226.9360, (4.6206e+06/s), 227.4430, (4.6103e+06/s)
mithral encode f32    , N D C B:,   16384, 512,  16,  8,    (5x10):,  0.1170, (2.2405e+09/s),  0.1170, (2.2405e+09/s),  0.1170, (2.2405e+09/s),  0.1160, (2.2599e+09/s),  0.1170, (2.2405e+09/s)
mithral encode i8     , N D C B:,   16384, 512,  16,  8,    (5x10):,  0.0930, (2.8188e+09/s),  0.0850, (3.0840e+09/s),  0.0860, (3.0482e+09/s),  0.0850, (3.0840e+09/s),  0.0840, (3.1208e+09/s)
