D,M,N,__pyience_timestamp__,acc-1nn-raw,acc_amm,acc_amm_1nn,acc_amm_rbf,acc_orig,acc_orig_1nn,acc_orig_rbf,alpha,canCheat,corr,cossim,d,lut_work_const,method,muls,ncodebooks,nlookups,nnz,normalized_mse,raw_mse,secs,sparsity,task_id,trial,y_mean,y_std,yhat_mean,yhat_std
320,256,291,2020-01-03T13_25_42,0.7663,0.8075601374570447,0.7938144329896907,0.8075601374570447,0.8075601374570447,0.7938144329896907,0.8075601374570447,,,0.9999998211860656,1.0,,,Exact,23838720.0,,,,0.0,0.0,0.0005663509946316483,,ucr MiddlePhalanxOutlineCorrect k=256,0,310.6649169921875,6.775482177734375,310.6649169921875,6.775482177734375
320,256,1320,2020-01-03T13_25_42,0.6652,0.6598484848484848,0.6598484848484848,0.6598484848484848,0.6598484848484848,0.6598484848484848,0.6598484848484848,,,1.000000238418579,1.0000005960464478,,,Exact,108134400.0,,,,0.0,0.0,0.0016351819940609855,,ucr FordA k=256,0,-0.043992944061756134,59.33061599731445,-0.043992944061756134,59.33061599731445
320,256,625,2020-01-03T13_25_42,0.7888,0.7312,0.7296,0.7312,0.7312,0.7296,0.7312,,,0.9999999403953552,1.0000001192092896,,,Exact,51200000.0,,,,0.0,0.0,0.000864595000166446,,ucr SwedishLeaf k=256,0,231.4257049560547,77.69361877441406,231.4257049560547,77.69361877441406
320,256,390,2020-01-03T13_25_42,0.5667,0.5282051282051282,0.5282051282051282,0.5282051282051282,0.5282051282051282,0.5282051282051282,0.5282051282051282,,,1.000000238418579,1.0000001192092896,,,Exact,31948800.0,,,,0.0,0.0,0.0006403400038834661,,ucr CricketY k=256,0,3.273430824279785,102.94695281982422,3.273430824279785,102.94695281982422
320,256,390,2020-01-03T13_25_42,0.5769,0.4974358974358975,0.4974358974358975,0.4974358974358975,0.4974358974358975,0.4974358974358975,0.4974358974358975,,,0.9999999403953552,1.0000001192092896,,,Exact,31948800.0,,,,0.0,0.0,0.0005486650043167174,,ucr CricketX k=256,0,0.4071867465972901,102.0207748413086,0.4071867465972901,102.0207748413086
320,256,375,2020-01-03T13_25_42,0.36,0.3973333333333333,0.4,0.3973333333333333,0.3973333333333333,0.4,0.3973333333333333,,,1.0000001192092896,1.0000004768371582,,,Exact,30720000.0,,,,0.0,0.0,0.0006203340017236768,,ucr ScreenType k=256,0,30.57592010498047,75.9339828491211,30.57592010498047,75.9339828491211
320,256,375,2020-01-03T13_25_42,0.34130000000000005,0.336,0.336,0.336,0.336,0.336,0.336,,,1.0000001192092896,1.0000004768371582,,,Exact,30720000.0,,,,0.0,0.0,0.0005926459998590872,,ucr SmallKitchenAppliances k=256,0,1.3113917112350464,16.77713966369629,1.3113917112350464,16.77713966369629
320,256,16800,2020-01-03T13_25_42,0.7117,0.5064880952380952,0.5060119047619047,0.5064880952380952,0.5064880952380952,0.5060119047619047,0.5064880952380952,,,1.0000247955322266,1.00003182888031,,,Exact,1376256000.0,,,,0.0,0.0,0.02207563001138624,,ucr Crop k=256,0,29.5390682220459,136.99446105957028,29.5390682220459,136.99446105957028
320,256,2439,2020-01-03T13_25_42,0.8475,0.7888478884788848,0.7888478884788848,0.7888478884788848,0.7888478884788848,0.7888478884788848,0.7888478884788848,,,1.0000014305114746,1.0000001192092896,,,Exact,199802880.0,,,,0.0,0.0,0.003473410994047299,,ucr MelbournePedestrian k=256,0,235.88812255859366,59.16371536254883,235.88812255859366,59.16371536254883
320,256,450,2020-01-03T13_25_42,0.3689,0.4733333333333333,0.48,0.4733333333333333,0.4733333333333333,0.48,0.4733333333333333,,,1.0000003576278689,1.0,,,Exact,36864000.0,,,,0.0,0.0,0.0007490069983759895,,ucr SemgHandMovementCh2 k=256,0,82.2909164428711,29.71292495727539,82.2909164428711,29.71292495727539
