D,M,N,__pyience_timestamp__,acc_amm,acc_orig,alpha,bias,canCheat,corr,cossim,d,lut_work_const,method,muls,ncentroids,ncodebooks,nlookups,nnz,normalized_mse,problem,r,raw_mse,s,secs,sparsity,task_id,trial,y_mean,y_std,yhat_mean,yhat_std
512,10,10000,2020-01-05T14_34_27,0.9336,0.9359,,,,0.9650495648384094,0.964890480041504,,,Bolt,81920000.0,,32.0,3200000.0,,0.06966719776391983,,,0.9427513480186462,,0.4139493120019324,,CIFAR-10 Softmax,0,0.045806057751178735,3.67861557006836,-0.01921083778142929,3.4544172286987305
512,10,10000,2020-01-05T14_34_29,0.9356,0.9359,,,,0.9766643643379213,0.9763723611831664,,,Bolt,81920000.0,,64.0,6400000.0,,0.0481194294989109,,,0.651162326335907,,0.5058374740183353,,CIFAR-10 Softmax,0,0.045806057751178735,3.67861557006836,-0.04089796170592308,3.453321695327759
512,10,10000,2020-01-05T14_37_56,0.1,0.9359,,,,0.2745848000049591,0.27446529269218445,1.0,,FastJL,916442.0,,,,,0.9961631894111632,,,13.480291366577148,,0.08375083497958258,,CIFAR-10 Softmax,0,0.045806057751178735,3.67861557006836,-0.00019772708765231078,0.027112135663628568
512,10,10000,2020-01-05T14_37_56,0.1,0.9359,,,,0.2753449082374573,0.27524620294570923,1.0,,FastJL,916442.0,,,,,0.994426131248474,,,13.456785202026367,,0.07236956298584117,,CIFAR-10 Softmax,1,0.045806057751178735,3.67861557006836,-0.0002274846483487636,0.03903098031878472
512,10,10000,2020-01-05T14_37_56,0.1,0.9359,,,,0.21447350084781647,0.21460236608982086,1.0,,FastJL,916442.0,,,,,0.9959184527397156,,,13.476980209350586,,0.1026388769969344,,CIFAR-10 Softmax,2,0.045806057751178735,3.67861557006836,0.0004902930813841522,0.03717968240380287
512,10,10000,2020-01-05T14_37_56,0.1,0.9359,,,,0.22922009229660034,0.2291516214609146,1.0,,FastJL,916442.0,,,,,0.9986571073532104,,,13.514039993286133,,0.07789826099178754,,CIFAR-10 Softmax,3,0.045806057751178735,3.67861557006836,-4.749118306790479e-05,0.012108373455703259
512,10,10000,2020-01-05T14_37_56,0.1,0.9359,,,,0.2009268403053284,0.2012297511100769,1.0,,FastJL,916442.0,,,,,0.9981828927993774,,,13.507622718811035,,0.06437148302211426,,CIFAR-10 Softmax,4,0.045806057751178735,3.67861557006836,0.0015980050666257741,0.0181781817227602
512,10,10000,2020-01-05T14_37_56,0.1,0.9359,,,,0.2459699362516403,0.2454303652048111,1.0,,FastJL,916442.0,,,,,0.9965583086013794,,,13.485638618469238,,0.059026971022831276,,CIFAR-10 Softmax,5,0.045806057751178735,3.67861557006836,-0.000870338117238134,0.02735185995697975
512,10,10000,2020-01-05T14_37_56,0.1,0.9359,,,,0.2953265011310577,0.2955397665500641,1.0,,FastJL,916442.0,,,,,0.9942856431007384,,,13.45488452911377,,0.059225961973425,,CIFAR-10 Softmax,6,0.045806057751178735,3.67861557006836,0.0010713093215599656,0.03714373707771301
512,10,10000,2020-01-05T14_37_56,0.1,0.9359,,,,0.17012494802474976,0.16867133975028992,1.0,,FastJL,916442.0,,,,,0.9956289529800416,,,13.473062515258787,,0.05253758098115213,,CIFAR-10 Softmax,7,0.045806057751178735,3.67861557006836,0.0113506019115448,0.05022008344531058
