D,M,N,__pyience_timestamp__,bias,corr,cossim,d,method,muls,ncodebooks,nlookups,normalized_mse,raw_mse,secs,task_id,trial,y_mean,y_std,yhat_std
75,1,48400,2019-12-31T22_49_10,11.162571907043457,0.1179850623011589,0.937031090259552,,Bolt,58080000,16.0,774400.0,1.7093291282653809,22422.560546875,0.0020943840499967337,Caltech 1 (helicopter),0,410.9469909667969,114.53276824951172,110.2747573852539
75,1,48400,2019-12-31T22_49_10,0.02635330520570278,0.4997275173664093,0.9405589103698728,,Bolt,58080000,16.0,774400.0,0.7756462693214417,21718.12890625,0.0020386050455272198,Caltech 2 (helicopter),0,399.8107299804688,167.33213806152344,110.2747573852539
75,1,48400,2019-12-31T22_49_10,-79.57328796386719,-0.3311981558799744,0.8857957124710083,,Bolt,58080000,16.0,774400.0,3.278028964996338,37914.44921875,0.002320357016287744,Caltech 3 (helicopter),0,320.2111511230469,107.54642486572266,110.2747573852539
75,1,48400,2019-12-31T22_49_10,91.6602783203125,0.3586834967136383,0.9239615201950072,,Bolt,58080000,16.0,774400.0,1.089693903923035,48032.28515625,0.0026002509985119104,Caltech 4 (helicopter),0,491.4447021484375,209.9492645263672,110.2747573852539
75,1,48400,2019-12-31T22_49_10,187.8919677734375,0.4586774408817291,0.9296653270721436,,Bolt,58080000,16.0,774400.0,1.3009880781173706,90092.5,0.0021062809973955154,Caltech 5 (helicopter),0,587.6764526367188,263.152587890625,110.2747573852539
75,1,48400,2019-12-31T22_49_10,-117.5205078125,0.2746710479259491,0.9449667930603028,,Bolt,58080000,16.0,774400.0,3.981200218200684,27909.87890625,0.002221032977104187,Caltech 6 (helicopter),0,282.263916015625,83.72824096679688,110.2747573852539
75,1,48400,2019-12-31T22_49_10,113.04187774658205,0.21921861171722407,0.9142191410064696,,Bolt,58080000,16.0,774400.0,1.3355209827423096,58864.8515625,0.0021734919864684343,Caltech 7 (helicopter),0,512.8262939453125,209.9436187744141,110.2747573852539
75,1,48400,2019-12-31T22_49_10,36.98037338256836,0.302962064743042,0.8734453916549683,,Bolt,58080000,16.0,774400.0,0.9462932348251344,61309.515625,0.0020986429881304502,Caltech 8 (helicopter),0,436.7648010253906,254.5370941162109,110.2747573852539
75,1,48400,2019-12-31T22_49_10,-160.78062438964844,-0.035244349390268326,0.8180561065673828,,Bolt,58080000,16.0,774400.0,2.8410801887512207,60405.9921875,0.0020999190164729953,Caltech 9 (helicopter),0,239.0037841796875,145.8136749267578,110.2747573852539
75,1,48400,2019-12-31T22_49_10,-74.59184265136719,0.1440509557723999,0.9016058444976808,,Bolt,58080000,16.0,774400.0,1.690523386001587,32592.841796875,0.0021185650257393718,Caltech 10 (ibis),0,325.1925964355469,138.85148620605472,110.2747573852539
75,1,48400,2019-12-31T22_49_10,115.02530670166016,-0.031191417947411537,0.9201514720916748,,Bolt,58080000,16.0,774400.0,2.0870494842529297,50810.171875,0.0020634779939427968,Caltech 11 (ibis),0,514.8097534179689,156.03030395507812,110.2747573852539
75,1,48400,2019-12-31T22_49_10,-71.63687133789062,0.042674720287323,0.8134391307830809,,Bolt,58080000,16.0,774400.0,1.3329365253448486,61159.8125,0.0029227520572021604,Caltech 12 (ibis),0,328.1475524902344,214.20437622070312,110.2747573852539
75,1,48400,2019-12-31T22_49_10,-171.55685424804688,-0.2787913680076599,0.6671155691146851,,Bolt,58080000,16.0,774400.0,2.2862770557403564,96365.1875,0.002083646017126739,Caltech 13 (ibis),0,228.2275695800781,205.30316162109366,110.2747573852539
75,1,48400,2019-12-31T22_49_10,-203.6751708984375,0.13888007402420044,0.8615971207618713,,Bolt,58080000,16.0,774400.0,5.2847633361816415,62069.60546875,0.002070573042146861,Caltech 14 (ibis),0,196.1092529296875,108.37440490722656,110.2747573852539
