------------------------ Caltech3x3 i8
---- ncodebooks=2
Caltech3x3, i8 , mithral lut sparse    , N D M C lut_work_coef:, 49284,  27,   2,  8,  4.0, (5x10):,  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s)
---- ncodebooks=16
Caltech3x3, i8 , amm mithral nolut     , N D M C lut_work_coef:, 49284,  27,   2, 16, -1.0, (5x10):,  0.3430, (2.8753e+08/s),  0.3420, (2.8837e+08/s),  0.3400, (2.9007e+08/s),  0.3310, (2.9796e+08/s),  0.3300, (2.9886e+08/s)
Caltech3x3, i8 , amm mithral denselut  , N D M C lut_work_coef:, 49284,  27,   2, 16, -1.0, (5x10):,  0.3670, (2.6873e+08/s),  0.3630, (2.7169e+08/s),  0.3560, (2.7703e+08/s),  0.3550, (2.7781e+08/s),  0.3560, (2.7703e+08/s)
Caltech3x3, i8 , mithral lut dense     , N D M C lut_work_coef:, 49284,  27,   2, 16, -1.0, (5x10):,  0.0010, (9.8624e+10/s),  0.0010, (9.8624e+10/s),  0.0010, (9.8624e+10/s),  0.0010, (9.8624e+10/s),  0.0010, (9.8624e+10/s)
Caltech3x3, i8 , amm mithral enc       , N D M C lut_work_coef:, 49284,  27,   2, 16, -1.0, (5x10):,  0.3110, (3.1712e+08/s),  0.3200, (3.0820e+08/s),  0.3140, (3.1409e+08/s),  0.3160, (3.1210e+08/s),  0.3090, (3.1917e+08/s)
Caltech3x3, i8 , amm mithral scan      , N D M C lut_work_coef:, 49284,  27,   2, 16, -1.0, (5x10):,  0.0180, (5.4791e+09/s),  0.0170, (5.8014e+09/s),  0.0150, (6.5749e+09/s),  0.0150, (6.5749e+09/s),  0.0150, (6.5749e+09/s)
Caltech3x3, i8 , amm mithral sparselut , N D M C lut_work_coef:, 49284,  27,   2, 16,  1.0, (5x10):,  0.3560, (2.7703e+08/s),  0.3640, (2.7095e+08/s),  0.3560, (2.7703e+08/s),  0.3620, (2.7244e+08/s),  0.3620, (2.7244e+08/s)
Caltech3x3, i8 , mithral lut sparse    , N D M C lut_work_coef:, 49284,  27,   2, 16,  1.0, (5x10):,  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s),  0.0000, (inf/s)
Caltech3x3, i8 , amm mithral sparselut , N D M C lut_work_coef:, 49284,  27,   2, 16,  2.0, (5x10):,  0.3630, (2.7169e+08/s),  0.3820, (2.5818e+08/s),  0.3610, (2.7320e+08/s),  0.3610, (2.7320e+08/s),  0.3670, (2.6873e+08/s)
